pc_timestamp,topology,distance_m,payload_bytes,from_node,source_label,seq,sent_us,recv_us,latency_ms,msg_length
42:45.7,3x3,1,1024,3552645,LEAF_11,0,1033732846,1033759714,26.868,1117
42:46.7,3x3,1,1024,3552645,LEAF_11,1,1034732839,1034757537,24.698,1117
42:47.7,3x3,1,1024,3552645,LEAF_11,2,1035732825,1035764230,31.405,1117
42:48.7,3x3,1,1024,3552645,LEAF_11,3,1036732823,1036774969,42.146,1117
42:49.7,3x3,1,1024,3552645,LEAF_11,4,1037732800,1037760763,27.963,1117
42:50.7,3x3,1,1024,3552645,LEAF_11,5,1038732809,1038760193,27.384,1117
42:51.7,3x3,1,1024,3552645,LEAF_11,6,1039732809,1039755085,22.276,1117
42:52.7,3x3,1,1024,3552645,LEAF_11,7,1040732809,1040755427,22.618,1117
42:53.7,3x3,1,1024,3552645,LEAF_11,8,1041732839,1041759332,26.493,1117
42:54.7,3x3,1,1024,3552645,LEAF_11,9,1042732817,1042763171,30.354,1117
42:55.7,3x3,1,1024,3552645,LEAF_11,10,1043732830,1043753751,20.921,1118
42:56.7,3x3,1,1024,3552645,LEAF_11,11,1044732835,1044761134,28.299,1118
42:57.7,3x3,1,1024,3552645,LEAF_11,12,1045732825,1045764148,31.323,1118
42:58.7,3x3,1,1024,3552645,LEAF_11,13,1046732834,1046754658,21.824,1118
42:59.7,3x3,1,1024,3552645,LEAF_11,14,1047732795,1047754335,21.54,1118
43:00.7,3x3,1,1024,3552645,LEAF_11,15,1048733418,1048756007,22.589,1118
43:01.7,3x3,1,1024,3552645,LEAF_11,16,1049733375,1049754529,21.154,1118
43:02.7,3x3,1,1024,3552645,LEAF_11,17,1050733386,1050757010,23.624,1118
43:03.7,3x3,1,1024,3552645,LEAF_11,18,1051733410,1051758829,25.419,1118
43:04.7,3x3,1,1024,3552645,LEAF_11,19,1052733405,1052788459,55.054,1118
43:05.7,3x3,1,1024,3552645,LEAF_11,20,1053733403,1053788685,55.282,1118
43:06.7,3x3,1,1024,3552645,LEAF_11,21,1054733390,1054780871,47.481,1118
43:07.7,3x3,1,1024,3552645,LEAF_11,22,1055733414,1055763283,29.869,1118
43:08.7,3x3,1,1024,3552645,LEAF_11,23,1056733382,1056760034,26.652,1118
43:09.7,3x3,1,1024,3552645,LEAF_11,24,1057733397,1057768867,35.47,1118
43:10.7,3x3,1,1024,3552645,LEAF_11,25,1058733381,1058763135,29.754,1118
43:11.7,3x3,1,1024,3552645,LEAF_11,26,1059733410,1059755185,21.775,1118
43:12.7,3x3,1,1024,3552645,LEAF_11,27,1060733376,1060777908,44.532,1118
43:13.7,3x3,1,1024,3552645,LEAF_11,28,1061733380,1061769720,36.34,1118
43:14.7,3x3,1,1024,3552645,LEAF_11,29,1062733390,1062771781,38.391,1118
43:15.7,3x3,1,1024,3552645,LEAF_11,30,1063733403,1063772963,39.56,1118
43:16.7,3x3,1,1024,3552645,LEAF_11,31,1064733376,1064778379,45.003,1118
43:17.7,3x3,1,1024,3552645,LEAF_11,32,1065733386,1065757758,24.372,1118
43:18.7,3x3,1,1024,3552645,LEAF_11,33,1066733387,1066758816,25.429,1118
43:19.7,3x3,1,1024,3552645,LEAF_11,34,1067733385,1067757625,24.24,1118
43:20.7,3x3,1,1024,3552645,LEAF_11,35,1068733411,1068764894,31.483,1118
43:21.7,3x3,1,1024,3552645,LEAF_11,36,1069733397,1069756762,23.365,1118
43:22.7,3x3,1,1024,3552645,LEAF_11,37,1070733405,1070755511,22.106,1118
43:23.7,3x3,1,1024,3552645,LEAF_11,38,1071733393,1071756037,22.644,1118
43:24.7,3x3,1,1024,3552645,LEAF_11,39,1072733411,1072755713,22.302,1118
43:25.7,3x3,1,1024,3552645,LEAF_11,40,1073733380,1073756753,23.373,1118
43:26.7,3x3,1,1024,3552645,LEAF_11,41,1074733405,1074759845,26.44,1118
43:27.7,3x3,1,1024,3552645,LEAF_11,42,1075733405,1075757666,24.261,1118
43:28.7,3x3,1,1024,3552645,LEAF_11,43,1076733406,1076757516,24.11,1118
43:29.7,3x3,1,1024,3552645,LEAF_11,44,1077733375,1077757443,24.068,1118
43:30.7,3x3,1,1024,3552645,LEAF_11,45,1078733382,1078761725,28.343,1118
43:31.7,3x3,1,1024,3552645,LEAF_11,46,1079733386,1079759236,25.85,1118
43:32.7,3x3,1,1024,3552645,LEAF_11,47,1080733436,1080761680,28.244,1118
43:33.7,3x3,1,1024,3552645,LEAF_11,48,1081733397,1081758430,25.033,1118
43:34.7,3x3,1,1024,3552645,LEAF_11,49,1082733390,1082761906,28.516,1118
43:35.7,3x3,1,1024,3552645,LEAF_11,50,1083733429,1083758147,24.718,1118
43:36.7,3x3,1,1024,3552645,LEAF_11,51,1084733403,1084760515,27.112,1118
43:37.7,3x3,1,1024,3552645,LEAF_11,52,1085733387,1085766945,33.558,1118
43:38.7,3x3,1,1024,3552645,LEAF_11,53,1086733405,1086762450,29.045,1118
43:39.7,3x3,1,1024,3552645,LEAF_11,54,1087734226,1087778700,44.474,1118
43:40.7,3x3,1,1024,3552645,LEAF_11,55,1088730737,1088756856,26.119,1118
43:41.7,3x3,1,1024,3552645,LEAF_11,56,1089730729,1089760227,29.498,1118
43:42.7,3x3,1,1024,3552645,LEAF_11,57,1090730754,1090766318,35.564,1118
43:43.7,3x3,1,1024,3552645,LEAF_11,58,1091730767,1091756231,25.464,1118
43:44.7,3x3,1,1024,3552645,LEAF_11,59,1092730764,1092756569,25.805,1118
43:45.7,3x3,1,1024,3552645,LEAF_11,60,1093730742,1093770215,39.473,1118
43:46.7,3x3,1,1024,3552645,LEAF_11,61,1094730743,1094759054,28.311,1118
43:47.7,3x3,1,1024,3552645,LEAF_11,62,1095730752,1095756833,26.081,1118
43:48.7,3x3,1,1024,3552645,LEAF_11,63,1096730755,1096759561,28.806,1118
43:49.7,3x3,1,1024,3552645,LEAF_11,64,1097730768,1097756312,25.544,1118
43:50.7,3x3,1,1024,3552645,LEAF_11,65,1098730725,1098759179,28.454,1118
43:51.7,3x3,1,1024,3552645,LEAF_11,66,1099730767,1099757363,26.596,1118
43:52.7,3x3,1,1024,3552645,LEAF_11,67,1100730748,1100758156,27.408,1118
43:53.7,3x3,1,1024,3552645,LEAF_11,68,1101730753,1101755898,25.145,1118
43:54.7,3x3,1,1024,3552645,LEAF_11,69,1102730764,1102755307,24.543,1118
43:55.7,3x3,1,1024,3552645,LEAF_11,70,1103730767,1103759381,28.614,1118
43:56.7,3x3,1,1024,3552645,LEAF_11,71,1104730769,1104760057,29.288,1118
43:57.7,3x3,1,1024,3552645,LEAF_11,72,1105730763,1105759182,28.419,1118
43:58.7,3x3,1,1024,3552645,LEAF_11,73,1106730764,1106757083,26.319,1118
43:59.7,3x3,1,1024,3552645,LEAF_11,74,1107730753,1107756744,25.991,1118
44:00.7,3x3,1,1024,3552645,LEAF_11,75,1108730739,1108776714,45.975,1118
44:01.7,3x3,1,1024,3552645,LEAF_11,76,1109730752,1109757267,26.515,1118
44:02.7,3x3,1,1024,3552645,LEAF_11,77,1110730739,1110761439,30.7,1118
44:03.7,3x3,1,1024,3552645,LEAF_11,78,1111730738,1111758554,27.816,1118
44:04.7,3x3,1,1024,3552645,LEAF_11,79,1112730742,1112763130,32.388,1118
44:05.7,3x3,1,1024,3552645,LEAF_11,80,1113730729,1113756749,26.02,1118
44:06.7,3x3,1,1024,3552645,LEAF_11,81,1114730758,1114760999,30.241,1118
44:07.7,3x3,1,1024,3552645,LEAF_11,82,1115730763,1115762593,31.83,1118
44:08.7,3x3,1,1024,3552645,LEAF_11,83,1116730747,1116760545,29.798,1118
44:09.7,3x3,1,1024,3552645,LEAF_11,84,1117730752,1117758085,27.333,1118
44:10.7,3x3,1,1024,3552645,LEAF_11,85,1118730748,1118756085,25.337,1118
44:11.7,3x3,1,1024,3552645,LEAF_11,86,1119730767,1119756868,26.101,1118
44:12.7,3x3,1,1024,3552645,LEAF_11,87,1120730754,1120758555,27.801,1118
