pc_timestamp,topology,distance_m,payload_bytes,from_node,source_label,seq,sent_us,recv_us,latency_ms,msg_length
2026-07-06 14:48:57.879,2x2,5,128,3552645,LEAF_11,12,333407903,333816315,408.412,220
2026-07-06 14:48:58.483,2x2,5,128,3552645,LEAF_11,13,334407929,334419815,11.886,220
2026-07-06 14:48:59.486,2x2,5,128,3552645,LEAF_11,14,335407923,335422577,14.654,220
2026-07-06 14:49:00.486,2x2,5,128,3552645,LEAF_11,15,336407903,336422483,14.580,220
2026-07-06 14:49:01.482,2x2,5,128,3552645,LEAF_11,16,337407939,337419507,11.568,220
2026-07-06 14:49:02.485,2x2,5,128,3552645,LEAF_11,17,338407900,338421898,13.998,220
2026-07-06 14:49:03.483,2x2,5,128,3552645,LEAF_11,18,339407932,339420268,12.336,220
2026-07-06 14:49:04.484,2x2,5,128,3552645,LEAF_11,19,340407932,340421107,13.175,220
2026-07-06 14:49:05.482,2x2,5,128,3552645,LEAF_11,20,341407913,341419286,11.373,220
2026-07-06 14:49:06.484,2x2,5,128,3552645,LEAF_11,21,342407936,342421525,13.589,220
2026-07-06 14:49:07.511,2x2,5,128,3552645,LEAF_11,22,343407906,343447326,39.420,220
2026-07-06 14:49:08.485,2x2,5,128,3552645,LEAF_11,23,344407922,344422188,14.266,220
2026-07-06 14:49:09.484,2x2,5,128,3552645,LEAF_11,24,345407932,345420662,12.730,220
2026-07-06 14:49:10.482,2x2,5,128,3552645,LEAF_11,25,346407946,346418722,10.776,220
2026-07-06 14:49:11.493,2x2,5,128,3552645,LEAF_11,26,347407931,347430796,22.865,220
2026-07-06 14:49:12.483,2x2,5,128,3552645,LEAF_11,27,348407911,348420289,12.378,220
2026-07-06 14:49:13.483,2x2,5,128,3552645,LEAF_11,28,349407981,349420698,12.717,220
2026-07-06 14:49:14.483,2x2,5,128,3552645,LEAF_11,29,350407990,350420193,12.203,220
2026-07-06 14:49:15.489,2x2,5,128,3552645,LEAF_11,30,351407990,351426272,18.282,220
2026-07-06 14:49:16.488,2x2,5,128,3552645,LEAF_11,31,352408018,352425490,17.472,220
2026-07-06 14:49:17.485,2x2,5,128,3552645,LEAF_11,32,353408001,353421832,13.831,220
2026-07-06 14:49:18.487,2x2,5,128,3552645,LEAF_11,33,354408009,354424721,16.712,220
2026-07-06 14:49:19.483,2x2,5,128,3552645,LEAF_11,34,355408022,355421173,13.151,220
2026-07-06 14:49:20.485,2x2,5,128,3552645,LEAF_11,35,356407999,356422400,14.401,220
2026-07-06 14:49:21.485,2x2,5,128,3552645,LEAF_11,36,357407981,357422357,14.376,220
2026-07-06 14:49:22.495,2x2,5,128,3552645,LEAF_11,37,358408009,358431941,23.932,220
2026-07-06 14:49:23.494,2x2,5,128,3552645,LEAF_11,38,359408011,359431793,23.782,220
2026-07-06 14:49:24.484,2x2,5,128,3552645,LEAF_11,39,360408010,360421091,13.081,220
2026-07-06 14:49:25.483,2x2,5,128,3552645,LEAF_11,40,361408018,361421009,12.991,220
2026-07-06 14:49:26.490,2x2,5,128,3552645,LEAF_11,41,362407989,362427609,19.620,220
2026-07-06 14:49:27.482,2x2,5,128,3552645,LEAF_11,42,363407990,363419823,11.833,220
2026-07-06 14:49:28.488,2x2,5,128,3552645,LEAF_11,43,364408008,364425676,17.668,220
2026-07-06 14:49:29.484,2x2,5,128,3552645,LEAF_11,44,365408009,365421375,13.366,220
2026-07-06 14:49:30.486,2x2,5,128,3552645,LEAF_11,45,366407991,366423406,15.415,220
2026-07-06 14:49:31.486,2x2,5,128,3552645,LEAF_11,46,367408000,367423792,15.792,220
2026-07-06 14:49:32.487,2x2,5,128,3552645,LEAF_11,47,368408003,368425464,17.461,220
2026-07-06 14:49:33.489,2x2,5,128,3552645,LEAF_11,48,369411199,369427136,15.937,220
2026-07-06 14:49:34.518,2x2,5,128,3552645,LEAF_11,49,370411178,370455878,44.700,220
2026-07-06 14:49:35.483,2x2,5,128,3552645,LEAF_11,50,371411180,371421217,10.037,220
2026-07-06 14:49:36.486,2x2,5,128,3552645,LEAF_11,51,372411173,372424080,12.907,220
2026-07-06 14:49:37.492,2x2,5,128,3552645,LEAF_11,52,373411172,373429290,18.118,220
2026-07-06 14:49:38.485,2x2,5,128,3552645,LEAF_11,53,374411182,374422944,11.762,220
2026-07-06 14:49:39.484,2x2,5,128,3552645,LEAF_11,54,375411164,375422163,10.999,220
2026-07-06 14:49:40.486,2x2,5,128,3552645,LEAF_11,55,376411143,376423987,12.844,220
2026-07-06 14:49:41.485,2x2,5,128,3552645,LEAF_11,56,377411147,377423446,12.299,220
2026-07-06 14:49:42.490,2x2,5,128,3552645,LEAF_11,57,378411163,378428135,16.972,220
2026-07-06 14:49:43.483,2x2,5,128,3552645,LEAF_11,58,379411158,379421384,10.226,220
2026-07-06 14:49:44.490,2x2,5,128,3552645,LEAF_11,59,380411185,380427911,16.726,220
2026-07-06 14:49:45.483,2x2,5,128,3552645,LEAF_11,60,381411186,381421934,10.748,220
2026-07-06 14:49:46.515,2x2,5,128,3552645,LEAF_11,61,382411153,382453142,41.989,220
2026-07-06 14:49:47.484,2x2,5,128,3552645,LEAF_11,62,383411157,383422230,11.073,220
2026-07-06 14:49:48.484,2x2,5,128,3552645,LEAF_11,63,384411145,384422481,11.336,220
2026-07-06 14:49:49.495,2x2,5,128,3552645,LEAF_11,64,385411165,385433891,22.726,220
2026-07-06 14:49:50.491,2x2,5,128,3552645,LEAF_11,65,386411145,386429141,17.996,220
2026-07-06 14:49:51.488,2x2,5,128,3552645,LEAF_11,66,387411147,387425806,14.659,220
2026-07-06 14:49:52.485,2x2,5,128,3552645,LEAF_11,67,388411154,388423720,12.566,220
2026-07-06 14:49:53.488,2x2,5,128,3552645,LEAF_11,68,389411176,389426011,14.835,220
2026-07-06 14:49:54.504,2x2,5,128,3552645,LEAF_11,69,390411173,390442210,31.037,220
2026-07-06 14:49:55.489,2x2,5,128,3552645,LEAF_11,70,391411185,391427167,15.982,220
