pc_timestamp,topology,distance_m,payload_bytes,from_node,source_label,seq,sent_us,recv_us,latency_ms,msg_length
58:28.8,3x3,1,512,3552645,LEAF_11,131,1975478388,1975520163,41.775,606
58:28.8,3x3,1,512,3552645,LEAF_11,132,1976478375,1976615584,137.209,606
58:29.4,3x3,1,512,3552645,LEAF_11,133,1977478360,1977534553,56.193,606
58:30.5,3x3,1,512,3552645,LEAF_11,134,1978478358,1978627927,149.569,606
58:31.3,3x3,1,512,3552645,LEAF_11,135,1979478354,1979519451,41.097,606
58:32.3,3x3,1,512,3552645,LEAF_11,136,1980478397,1980508098,29.701,606
58:33.3,3x3,1,512,3552645,LEAF_11,137,1981478382,1981514843,36.461,606
58:34.3,3x3,1,512,3552645,LEAF_11,138,1982478355,1982508658,30.303,606
58:35.3,3x3,1,512,3552645,LEAF_11,139,1983478352,1983509347,30.995,606
58:36.3,3x3,1,512,3552645,LEAF_11,140,1984478384,1984520251,41.867,606
58:37.4,3x3,1,512,3552645,LEAF_11,141,1985478375,1985543144,64.769,606
59:45.9,3x3,1,512,3552645,LEAF_11,0,2053895559,2054100899,205.34,604
59:46.9,3x3,1,512,3552645,LEAF_11,1,2054895558,2055125348,229.79,604
59:48.0,3x3,1,512,3552645,LEAF_11,2,2055895573,2056149377,253.804,604
59:49.0,3x3,1,512,3552645,LEAF_11,3,2056895581,2057189472,293.891,604
59:49.9,3x3,1,512,3552645,LEAF_11,4,2057895583,2058094556,198.973,604
59:50.7,3x3,1,512,3552645,LEAF_11,5,2058895581,2058913326,17.745,604
59:51.8,3x3,1,512,3552645,LEAF_11,6,2059895573,2059937018,41.445,604
59:52.8,3x3,1,512,3552645,LEAF_11,7,2060895558,2060961345,65.787,604
59:53.8,3x3,1,512,3552645,LEAF_11,8,2061895548,2061985638,90.09,604
59:54.8,3x3,1,512,3552645,LEAF_11,9,2062895547,2063009398,113.851,604
59:55.9,3x3,1,512,3552645,LEAF_11,10,2063895588,2064033229,137.641,605
59:57.0,3x3,1,512,3552645,LEAF_11,11,2064895548,2065159878,264.33,605
59:58.0,3x3,1,512,3552645,LEAF_11,12,2065895575,2066183662,288.087,605
59:59.0,3x3,1,512,3552645,LEAF_11,13,2066895570,2067210455,314.885,605
59:59.7,3x3,1,512,3552645,LEAF_11,14,2067895560,2067924926,29.366,605
00:00.8,3x3,1,512,3552645,LEAF_11,15,2068895556,2068950202,54.646,605
00:01.8,3x3,1,512,3552645,LEAF_11,16,2069895541,2069973151,77.61,605
00:02.8,3x3,1,512,3552645,LEAF_11,17,2070895581,2070997148,101.567,605
00:03.8,3x3,1,512,3552645,LEAF_11,18,2071895564,2072021442,125.878,605
00:04.9,3x3,1,512,3552645,LEAF_11,19,2072895540,2073045309,149.769,605
00:05.9,3x3,1,512,3552645,LEAF_11,20,2073895541,2074069715,174.174,605
00:06.9,3x3,1,512,3552645,LEAF_11,21,2074895570,2075094513,198.943,605
00:07.7,3x3,1,512,3552645,LEAF_11,22,2075895558,2075912424,16.866,605
00:08.8,3x3,1,512,3552645,LEAF_11,23,2076895579,2076940558,44.979,605
00:09.8,3x3,1,512,3552645,LEAF_11,24,2077895552,2077960665,65.113,605
00:10.8,3x3,1,512,3552645,LEAF_11,25,2078895549,2078984588,89.039,605
00:11.8,3x3,1,512,3552645,LEAF_11,26,2079895564,2080009361,113.797,605
00:12.9,3x3,1,512,3552645,LEAF_11,27,2080895550,2081033263,137.713,605
00:13.9,3x3,1,512,3552645,LEAF_11,28,2081895566,2082057476,161.91,605
00:14.9,3x3,1,512,3552645,LEAF_11,29,2082895545,2083080994,185.449,605
00:16.0,3x3,1,512,3552645,LEAF_11,30,2083895548,2084207958,312.41,605
00:16.7,3x3,1,512,3552645,LEAF_11,31,2084895566,2084925408,29.842,605
00:17.8,3x3,1,512,3552645,LEAF_11,32,2085895550,2085958369,62.819,605
00:18.8,3x3,1,512,3552645,LEAF_11,33,2086906663,2086946089,39.426,605
00:19.8,3x3,1,512,3552645,LEAF_11,34,2087900999,2088000674,99.675,605
00:20.8,3x3,1,512,3552645,LEAF_11,35,2088904731,2089027031,122.3,605
00:21.9,3x3,1,512,3552645,LEAF_11,36,2089904718,2090048982,144.264,605
00:22.9,3x3,1,512,3552645,LEAF_11,37,2090904692,2091074394,169.702,605
